emp_id,age,Department,location,education,recruitment_type,job_level,rating,onsite,awards,certifications,salary,satisfied,ID,Age,Gender,Marital_Status,Job_Role,Experience_Years,Monthly_Salary_INR,Working_Hours_per_Week,Commute_Time_Hours,Remote_Work,Stress_Level,Company_Size,Sleep_Hours,Physical_Activity_Hours_per_Week,Mental_Health_Leave_Taken,Manager_Support_Level,Work_Pressure_Level,Annual_Leaves_Taken,Work_Life_Balance,Family_Support_Level,Job_Satisfaction,Performance_Rating,Team_Size,Training_Opportunities,Gender_Bias_Experienced,Discrimination_Experienced,Burnout_Symptoms,Location
HR8270,28,HR,Suburb,PG,Referral,5,2,0,1,0,86750,1,3,32,Female,Single,Developer,10,38005.39,81,1.22,False,7,Medium,7.9,8.4,False,2,7,13,6,1,1,1,67,False,False,False,Yes,Metro
HR8270,28,HR,Suburb,PG,Referral,5,2,0,1,0,86750,1,6,38,Non-Binary,Single,Manager,13,37595.9,45,0.48,True,2,Large,5.7,9.5,True,5,8,30,6,0,7,2,22,True,True,True,No,Tier-2
HR8270,28,HR,Suburb,PG,Referral,5,2,0,1,0,86750,1,15,41,Female,Widowed,Support,10,196157.07,52,2.59,True,8,Medium,5.8,9.3,True,1,7,11,9,2,1,7,93,False,True,True,No,Tier-1
HR8270,28,HR,Suburb,PG,Referral,5,2,0,1,0,86750,1,21,47,Male,Single,Developer,39,90909.36,78,1.87,False,2,Medium,5.6,9.6,True,1,1,22,7,5,7,5,30,True,True,False,No,Tier-3
HR8270,28,HR,Suburb,PG,Referral,5,2,0,1,0,86750,1,22,55,Non-Binary,Married,Developer,3,194433.13,36,2.93,False,0,Small,4.4,1.1,False,2,7,18,2,3,10,2,92,True,True,True,Occasional,Tier-2
HR8270,28,HR,Suburb,PG,Referral,5,2,0,1,0,86750,1,37,20,Female,Divorced,Sales,33,184038.88,85,2.27,False,4,Large,8.2,8.3,True,7,1,14,6,2,3,10,25,True,True,True,No,Tier-3
HR8270,28,HR,Suburb,PG,Referral,5,2,0,1,0,86750,1,44,21,Male,Single,Developer,15,183203.79,90,1.43,False,5,Large,8.4,8.5,True,3,8,11,1,7,6,4,25,False,False,True,Yes,Tier-3
HR8270,28,HR,Suburb,PG,Referral,5,2,0,1,0,86750,1,45,42,Female,Divorced,Manager,9,24521.93,73,0.53,True,1,Medium,5.9,8.6,False,10,0,2,5,1,3,8,32,True,False,True,No,Metro
HR8270,28,HR,Suburb,PG,Referral,5,2,0,1,0,86750,1,53,24,Female,Single,HR,24,195534.18,77,1.29,False,6,Large,5.0,10.0,False,3,5,12,6,2,2,8,56,True,False,False,Yes,Tier-1
HR8270,28,HR,Suburb,PG,Referral,5,2,0,1,0,86750,1,59,34,Female,Divorced,HR,13,108133.43,49,1.69,False,10,Small,4.6,7.7,False,1,4,30,5,8,9,8,73,True,True,True,Occasional,Tier-1
